slug,productName,missingFields
flymill-proteinshake-choco-45,프로틴쉐이크 (초코),bcaaMg
labnosh-slimshake-double-choco-45,슬림쉐이크 (더블초코),bcaaMg
danbaekhani-proteinshake-signature-40,단백질쉐이크 (시그니처),bcaaMg
flymill-proteinshake-banana-45,프로틴쉐이크 (바나나),bcaaMg
labnosh-slimshake-injeolmi-45,슬림쉐이크 (인절미),bcaaMg
danbaekhani-proteinshake-choco-40,단백질쉐이크 (초코),bcaaMg
flymill-proteinshake-strawberry-45,프로틴쉐이크 (딸기),bcaaMg
labnosh-slimshake-goguma-45,슬림쉐이크 (고구마),bcaaMg
danbaekhani-proteinshake-matcha-40,단백질쉐이크 (말차),bcaaMg
flymill-proteinshake-goguma-45,프로틴쉐이크 (고구마),bcaaMg
labnosh-slimshake-jeju-matcha-45,슬림쉐이크 (제주말차),bcaaMg
proteone-proteinshake-choco-40,단백쉐이크 (초코맛),bcaaMg
proteone-proteinshake-coffee-40,단백쉐이크 (커피맛),bcaaMg
itthefit-proteinshake-double-choco-40,단백질 쉐이크 (더블초코),bcaaMg
labnosh-slimshake-strawberry-banana-45,슬림쉐이크 (딸기바나나),bcaaMg
labnosh-slimshake-roasting-black-sesame-45,슬림쉐이크 (로스팅흑임자),bcaaMg
proteone-proteinshake-strawberry-40,단백쉐이크 (딸기맛),bcaaMg
proteone-proteinshake-black-sesame-40,단백쉐이크 (흑임자맛),bcaaMg
itthefit-proteinshake-cafe-latte-40,단백질 쉐이크 (카페라떼),bcaaMg
itthefit-proteinshake-cookie-cream-40,단백질 쉐이크 (쿠키앤크림),bcaaMg
kkobak-kobab-high-protein-low-sugar-choco-40,고단저당 (초코),bcaaMg
kkobak-kobab-high-protein-low-sugar-coffee-40,고단저당 (커피),bcaaMg
kkobak-kobab-high-protein-low-sugar-jeju-matcha-40,고단저당 (제주 말차),bcaaMg
kkobak-kobab-high-protein-low-sugar-sweet-corn-40,고단저당 (스윗콘),bcaaMg
kkobak-kobab-high-protein-low-sugar-black-sesame-40,고단저당 (흑임자),bcaaMg
kkobak-kobab-high-protein-low-sugar-misugaru-40,고단저당 (미숫가루),bcaaMg
proteone-proteinshake-grain-40,단백쉐이크 (곡물맛),bcaaMg
itthefit-proteinshake-black-sesame-40,단백질 쉐이크 (흑임자),bcaaMg
itthefit-proteinshake-goguma-40,단백질 쉐이크 (고구마),bcaaMg
itthefit-proteinshake-misugaru-40,단백질 쉐이크 (미숫가루),bcaaMg
itthefit-proteinshake-corn-40,단백질 쉐이크 (옥수수),bcaaMg
milit-proteinshake-chocolate-40,단백질쉐이크 (초콜릿맛),bcaaMg
milit-proteinshake-coffee-40,단백질쉐이크 (커피맛),bcaaMg
milit-proteinshake-banana-40,단백질쉐이크 (바나나맛),bcaaMg
flymill-proteinshake-green-45,프로틴쉐이크 (그린),bcaaMg
flymill-proteinshake-dolce-latte-45,프로틴쉐이크 (돌체라떼),bcaaMg
flymill-proteinshake-milk-tea-45,프로틴쉐이크 (밀크티),bcaaMg
flymill-proteinshake-brown-45,프로틴쉐이크 (브라운),bcaaMg
flymill-proteinshake-black-45,프로틴쉐이크 (블랙),bcaaMg
